Code;Sign
151108;4
151111;4
151112;4
151114;2
151116;4
151123;4
151141;4
151143;4
151174;4
151188;4
151216;2
151296;2
152105;4
152114;2
152119;3
152121;4
152154;2
152159;2
152160;2
152180;4
152211;2
152288;2
152290;2
152355;4
153117;4
153118;4
153120;3
153122;4
153155;2
153161;2
153179;4
153289;2
153291;2
153356;4
154130;2
154132;2
154133;2
154135;2
154136;2
154137;2
154138;2
154139;2
154155;2
154156;3
154158;2
154159;2
154160;3
154161;3
154189;2
154190;2
154191;2
154192;2
154193;2
154195;2
154196;2
154197;2
154204;2
154238;3
154239;3
154273;3
154274;3
154278;2
154288;3
154329;3
154361;3
154362;3
154363;3
154364;3
154365;3
154366;3
154367;3
154368;3
154369;3
154370;3
154371;3
154372;3
155129;2
155130;2
155132;2
155133;2
155134;2
155135;2
155136;2
155137;2
155139;2
155154;2
155156;3
155157;3
155158;2
155159;2
155161;3
155189;2
155190;2
155191;2
155192;2
155193;2
155194;2
155195;2
155196;2
155197;2
155199;2
155200;2
155238;3
155239;3
155273;3
155274;3
155297;4
155327;3
155330;3
155348;3
155362;3
155363;3
155364;3
155365;3
155366;3
155367;3
155368;3
155369;3
155370;3
155371;3
156132;2
156133;2
156138;2
156154;2
156155;2
156157;3
156159;2
156161;3
156168;4
156171;4
156193;2
156195;2
156211;3
156274;3
156279;2
156281;4
156331;4
156362;3
156370;3
156374;2
156386;3
157114;3
157129;2
157131;2
157132;2
157138;2
157154;2
157155;2
157156;3
157158;2
157161;3
157167;4
157191;2
157192;2
157195;2
157201;2
157217;3
157363;3
157364;3
157392;2
158132;2
158138;2
158139;2
158154;2
158155;2
158159;4
158160;3
158167;4
158189;2
158190;2
158191;2
158192;2
158193;2
158196;2
158213;2
158238;4
158273;2
158328;4
158329;4
158330;4
158363;2
158365;2
158370;2
158372;2
159123;2
159138;2
159139;2
159154;2
159155;2
159156;2
159158;4
159161;3
159168;4
159189;2
159190;2
159191;2
159192;2
159193;2
159196;2
159198;2
159201;2
159213;2
159238;4
159272;4
159274;2
159328;4
159329;4
159330;4
159362;2
159363;2
159365;2
159371;2
160124;2
160129;2
160154;2
160155;2
160158;4
160189;2
160190;2
160191;2
160200;2
160273;2
160274;2
160285;2
160320;4
160328;4
160329;4
160330;4
160361;2
160363;2
160391;2
160392;2
161122;3
161129;2
161130;2
161131;2
161154;2
161155;2
161158;4
161159;4
161160;3
161185;4
161189;2
161190;2
161191;2
161200;2
161252;3
161301;2
161321;4
161328;4
161329;4
161330;4
161356;3
161361;2
161362;2
161363;2
161364;2
162115;3
162138;3
162156;3
162157;3
162163;3
162164;4
162165;3
162166;3
162167;4
162171;4
162212;4
162216;3
162217;3
162278;4
162282;3
162295;4
162296;4
162343;4
162373;3
162374;3
162384;3
163111;4
163115;3
163145;3
163154;3
163156;3
163157;3
163162;3
163164;4
163165;3
163166;3
163167;4
163216;3
163217;3
163274;3
163275;3
163281;4
163282;3
163308;4
163320;4
163362;3
164154;2
164155;2
164156;2
164157;2
164158;4
164159;4
164161;3
164162;4
164164;2
164167;4
164168;4
164196;2
164213;2
164262;3
164273;2
164274;2
164278;2
164279;2
164283;2
164285;2
164366;2
164371;2
164384;2
165106;4
165145;4
165155;4
165156;4
165157;4
165158;4
165162;4
165163;4
165166;4
165167;4
165168;4
165176;4
165182;4
165205;4
165281;4
165283;4
165296;4
165301;4
165304;4
165328;4
165342;4
165344;4
165390;4
166108;4
166128;4
166151;4
166154;4
