Edgecode;Motif
131421;F019
131422;C055
131423;C056
131424;C057
131431;F022
131432;C058
131433;C059
131434;C060
131441;F023
131442;C061
131443;C062
131444;C063
132111;L002
132112;F002
132113;F006
132114;F016
132121;F003
132122;E002
132123;E008
132124;E016
132131;F007
132132;E009
132133;E005
132134;E017
132141;F015
132142;E014
132143;E015
132144;E018
132211;I002
132212;C003
132213;C004
132214;C064
132221;G002
132222;B017
132223;B030
132224;B098
132231;G003
132232;B026
132233;B028
132234;B099
132241;G028
132242;B100
132243;B101
132244;B102
132311;I004
132312;C011
132313;C008
132314;C065
132321;G009
132322;B021
132323;B032
132324;B103
132331;G010
132332;B024
132333;B022
132334;B104
132341;G029
132342;B105
132343;B106
132344;B107
132411;I014
132412;C022
132413;C050
132414;C066
132421;G021
132422;B108
132423;B109
132424;B110
132431;G030
132432;B111
132433;B112
132434;B113
132441;G031
132442;B114
132443;B115
132444;B116
133111;L003
133112;F004
133113;F008
133114;F024
133121;F004
133122;E003
133123;E010
133124;E028
133131;F008
133132;E010
133133;E006
133134;E029
133141;F024
133142;E028
133143;E029
133144;E030
133211;I006
133212;C007
133213;C012
133214;C067
133221;G008
133222;B020
133223;B029
133224;B117
133231;G010
133232;B025
133233;B023
133234;B118
133241;G032
133242;B119
133243;B120
133244;B121
133311;I008
133312;C015
133313;C016
133314;C068
133321;G005
133322;B018
133323;B031
133324;B122
133331;G006
133332;B027
133333;B019
133334;B123
133341;G033
133342;B124
133343;B125
133344;B126
133411;I015
133412;C023
133413;C051
133414;C069
133421;G023
133422;B127
133423;B128
133424;B129
133431;G034
133432;B130
133433;B131
133434;B132
133441;G035
133442;B133
133443;B134
133444;B135
134111;L005
134112;F010
134113;F021
134114;F025
134121;F012
134122;E031
134123;E032
134124;E033
134131;F022
134132;E034
134133;E035
134134;E036
134141;F026
134142;E037
134143;E038
134144;E039
134211;I016
134212;C024
134213;C052
134214;C070
134221;G014
134222;B136
134223;B137
134224;B138
134231;G030
134232;B139
134233;B140
134234;B141
134241;G036
134242;B142
134243;B143
134244;B144
134311;I017
134312;C025
134313;C053
134314;C071
134321;G019
134322;B145
134323;B146
134324;B147
134331;G034
134332;B148
134333;B149
134334;B150
134341;G037
134342;B151
134343;B152
134344;B153
134411;I018
134412;C026
134413;C054
134414;C072
134421;G026
134422;B154
134423;B155
134424;B156
134431;G038
134432;B157
134433;B158
134434;B159
134441;G039
134442;B160
134443;B161
134444;B162
141112;M005
141113;M006
141114;M009
141121;K004
141122;J014
141123;J015
141124;J017
141131;K005
141132;J022
141133;J023
141134;J024
141141;K006
141142;J025
141143;J026
141144;J027
141211;M007
141212;D005
141213;D006
141214;D008
141221;F014
141222;C036
141223;C037
141224;C039
141231;F015
141232;C040
141233;C041
141234;C043
141241;F018
141242;C045
141243;C047
141244;C049
141311;M008
141312;D007
141313;D009
141314;D010
141321;F016
141322;C064
141323;C065
141324;C066
141331;F024
141332;C067
141333;C068
141334;C069
141341;F025
141342;C070
141343;C071
141344;C072
141411;M009
141412;D008
141413;D010
141414;D011
141421;F020
141422;C073
141423;C074
141424;C075
141431;F026
141432;C076
141433;C077
141434;C078
141441;F027
141442;C079
141443;C080
141444;C081
142111;L004
142112;F011
142113;F019
142114;F020
142121;F009
142122;E019
142123;E022
142124;E025
142131;F017
142132;E020
142133;E023
142134;E026
142141;F018
142142;E021
142143;E024
142144;E027
142211;I019
142212;C027
142213;C055
142214;C073
142221;G011
142222;B163
142223;B164
142224;B165
142231;G028
142232;B166
142233;B167
142234;B168
142241;G040
142242;B169
142243;B170
142244;B171
142311;I020
142312;C028
142313;C056
142314;C074
142321;G016
142322;B172
142323;B173
142324;B174
142331;G032
142332;B175
142333;B176
142334;B177
142341;G041
142342;B178
142343;B179
142344;B180
142411;I021
142412;C029
142413;C057
142414;C075
142421;G022
142422;B181
142423;B182
142424;B183
142431;G036
142432;B184
142433;B185
142434;B186
142441;G042
142442;B187
142443;B188
142444;B189
143111;L005
143112;F012
143113;F022
143114;F026
143121;F010
143122;E031
143123;E034
143124;E037
143131;F021
143132;E032
143133;E035
143134;E038
143141;F025
143142;E033
143143;E036
143144;E039
143211;I022
143212;C030
143213;C058
143214;C076
143221;G012
143222;B190
143223;B191
143224;B192
143231;G029
143232;B193
143233;B194
143234;B195
143241;G041
143242;B196
143243;B197
143244;B198
143311;I023
143312;C031
143313;C059
143314;C077
143321;G017
143322;B199
143323;B200
143324;B201
143331;G033
143332;B202
143333;B203
143334;B204
143341;G043
143342;B205
143343;B206
143344;B207
143411;I024
143412;C032
143413;C060
143414;C078
143421;G024
143422;B208
143423;B209
143424;B210
143431;G037
143432;B211
143433;B212
143434;B213
143441;G044
143442;B214
143443;B215
143444;B216
144111;L006
144112;F013
144113;F023
144114;F027
144121;F013
144122;E040
144123;E041
144124;E042
144131;F023
144132;E041
144133;E043
144134;E044
144141;F027
144142;E042
144143;E044
144144;E045
144211;I025
144212;C033
144213;C061
144214;C079
144221;G015
144222;B217
144223;B218
144224;B219
144231;G031
144232;B220
144233;B221
144234;B222
144241;G042
144242;B223
144243;B224
144244;B225
144311;I026
144312;C034
144313;C062
144314;C080
144321;G020
144322;B226
144323;B227
144324;B228
144331;G035
144332;B229
144333;B230
144334;B231
144341;G044
144342;B232
144343;B233
144344;B234
144411;I027
144412;C035
144413;C063
144414;C081
144421;G027
144422;B235
144423;B236
144424;B237
144431;G039
144432;B238
144433;B239
144434;B240
144441;G045
144442;B241
144443;B242
144444;B243
211112;L001
211113;L002
211114;L004
211121;M001
211122;I001
211123;I005
211124;I011
211131;M003
211132;I003
211133;I007
211134;I012
211141;M005
211142;I009
211143;I010
211144;I013
211211;K001
211212;F001
211213;F002
211214;F011
211221;F001
211222;G001
211223;G007
211224;G013
211231;F002
211232;G007
211233;G004
211234;G018
211241;F011
211242;G013
211243;G018
211244;G025
211311;K002
211312;F005
211313;F006
211314;F019
211321;F003
211322;G002
211323;G009
211324;G021
211331;F004
211332;G008
211333;G005
211334;G023
211341;F012
211342;G014
211343;G019
211344;G026
211411;K004
211412;F014
211413;F016
211414;F020
211421;F009
211422;G011
211423;G016
211424;G022
211431;F010
211432;G012
211433;G017
211434;G024
211441;F013
211442;G015
211443;G020
211444;G027
212111;M001
212112;F001
212113;F003
212114;F009
212121;D001
212122;C001
212123;C005
212124;C019
212131;D002
212132;C009
212133;C013
212134;C020
212141;D005
212142;C017
212143;C018
212144;C021
212211;J001
212212;E001
212213;E002
212214;E019
212221;C001
212222;B001
212223;B004
212224;B071
212231;C003
212232;B005
212233;B002
212234;B080
212241;C027
212242;B043
212243;B062
212244;B089
212311;J003
212312;E007
212313;E008
212314;E022
212321;C005
212322;B010
212323;B009
212324;B074
212331;C007
212332;B008
212333;B011
212334;B083
212341;C030
212342;B046
212343;B065
212344;B092
212411;J009
212412;E011
212413;E016
212414;E025
212421;C019
212422;B035
212423;B054
212424;B077
212431;C024
212432;B040
212433;B059
212434;B086
212441;C033
212442;B049
212443;B068
212444;B095
213111;M002
213112;F005
213113;F007
213114;F017
213121;D002
213122;C002
213123;C006
213124;C044
213131;D003
213132;C010
213133;C014
213134;C046
213141;D007
213142;C038
213143;C042
213144;C048
213211;J005
213212;E007
