Edgecode;Motif
321432;B193
321433;B202
321434;B211
321441;E041
321442;B220
321443;B229
321444;B238
322111;I003
322112;G007
322113;G008
322114;G012
322121;C009
322122;B005
322123;B008
322124;B040
322131;C010
322132;B016
322133;B006
322134;B041
322141;C037
322142;B038
322143;B039
322144;B042
322211;H004
322212;B004
322213;B020
322214;B190
322221;B014
322222;A005
322223;A009
322224;A022
322231;B030
322232;A013
322233;A007
322234;A023
322241;B164
322242;A020
322243;A021
322244;A024
322311;H009
322312;B013
322313;B029
322314;B191
322321;B013
322322;A011
322323;A015
322324;A056
322331;B029
322332;A015
322333;A012
322334;A071
322341;B191
322342;A056
322343;A071
322344;A090
322411;H028
322412;B052
322413;B117
322414;B192
322421;B072
322422;A032
322423;A062
322424;A080
322431;B137
322432;A052
322433;A067
322434;A086
322441;B218
322442;A059
322443;A074
322444;A093
323111;I004
323112;G009
323113;G010
323114;G029
323121;C011
323122;B021
323123;B024
323124;B105
323131;C008
323132;B032
323133;B022
323134;B106
323141;C065
323142;B103
323143;B104
323144;B107
323211;H010
323212;B009
323213;B025
323214;B193
323221;B016
323222;A013
323223;A015
323224;A052
323231;B032
323232;A016
323233;A014
323234;A053
323241;B173
323242;A050
323243;A051
323244;A054
323311;H007
323312;B007
323313;B023
323314;B194
323321;B015
323322;A006
323323;A010
323324;A078
323331;B031
323332;A014
323333;A008
323334;A084
323341;B200
323342;A057
323343;A072
323344;A091
323411;H029
323412;B053
323413;B118
323414;B195
323421;B081
323422;A033
323423;A063
323424;A081
323431;B146
323432;A053
323433;A068
323434;A087
323441;B227
323442;A060
323443;A075
323444;A094
324111;I020
324112;G016
324113;G032
324114;G041
324121;C028
324122;B172
324123;B175
324124;B178
324131;C056
324132;B173
324133;B176
324134;B179
324141;C074
324142;B174
324143;B177
324144;B180
324211;H021
324212;B054
324213;B119
324214;B196
324221;B044
324222;A025
324223;A062
324224;A077
324231;B109
324232;A050
324233;A065
324234;A083
324241;B182
324242;A055
324243;A070
324244;A089
324311;H030
324312;B055
324313;B120
324314;B197
324321;B063
324322;A034
324323;A063
324324;A079
324331;B128
324332;A051
324333;A066
324334;A085
324341;B209
324342;A058
324343;A073
324344;A092
324411;H031
324412;B056
324413;B121
324414;B198
324421;B090
324422;A035
324423;A064
324424;A082
324431;B155
324432;A054
324433;A069
324434;A088
324441;B236
324442;A061
324443;A076
324444;A095
331112;I007
331113;I008
331114;I023
331121;J007
331122;H002
331123;H006
331124;H023
331131;J008
331132;H007
331133;H003
331134;H034
331141;J023
331142;H032
331143;H033
331144;H035
331211;J007
331212;C013
331213;C015
331214;C031
331221;E004
331222;B012
331223;B006
331224;B047
331231;E005
331232;B007
331233;B003
331234;B066
331241;E023
331242;B075
331243;B084
331244;B093
331311;J008
331312;C014
331313;C016
331314;C059
331321;E005
331322;B028
331323;B022
331324;B112
331331;E006
331332;B023
331333;B019
331334;B131
331341;E035
331342;B140
331343;B149
331344;B158
331411;J023
331412;C041
331413;C068
331414;C077
331421;E023
331422;B167
331423;B176
331424;B185
331431;E035
331432;B194
331433;B203
331434;B212
331441;E043
331442;B221
331443;B230
331444;B239
332111;I007
332112;G004
332113;G005
332114;G017
332121;C013
332122;B002
332123;B011
332124;B059
332131;C014
332132;B015
332133;B003
332134;B060
332141;C041
332142;B057
332143;B058
332144;B061
332211;H002
332212;B002
332213;B018
332214;B199
332221;B012
332222;A002
332223;A007
332224;A027
332231;B028
332232;A006
332233;A003
332234;A038
332241;B167
332242;A036
332243;A037
332244;A039
332311;H007
332312;B015
332313;B031
332314;B200
332321;B007
332322;A006
332323;A014
332324;A057
332331;B023
332332;A010
332333;A008
332334;A072
332341;B194
332342;A078
332343;A084
332344;A091
332411;H032
332412;B057
332413;B122
332414;B201
332421;B075
332422;A036
332423;A065
332424;A097
332431;B140
332432;A078
332433;A102
332434;A107
332441;B221
332442;A112
332443;A115
332444;A119
333111;I008
333112;G005
333113;G006
333114;G033
333121;C015
333122;B018
333123;B027
333124;B124
333131;C016
333132;B031
333133;B019
333134;B125
333141;C068
333142;B122
333143;B123
333144;B126
333211;H006
333212;B011
333213;B027
333214;B202
333221;B006
333222;A007
333223;A012
333224;A067
333231;B022
333232;A014
333233;A008
333234;A068
333241;B176
333242;A065
333243;A066
333244;A069
333311;H003
333312;B003
333313;B019
333314;B203
333321;B003
333322;A003
333323;A008
333324;A102
333331;B019
333332;A008
333333;A004
333334;A124
333341;B203
333342;A102
333343;A124
333344;A125
333411;H033
333412;B058
333413;B123
333414;B204
333421;B084
333422;A037
333423;A066
333424;A103
333431;B149
333432;A084
333433;A124
333434;A126
333441;B230
333442;A115
333443;A127
333444;A128
334111;I023
334112;G017
334113;G033
334114;G043
334121;C031
334122;B199
334123;B202
334124;B205
334131;C059
334132;B200
334133;B203
334134;B206
334141;C077
334142;B201
334143;B204
334144;B207
334211;H023
334212;B059
334213;B124
334214;B205
334221;B047
334222;A027
334223;A067
334224;A104
334231;B112
334232;A057
334233;A102
334234;A105
334241;B185
334242;A097
334243;A103
334244;A106
334311;H034
334312;B060
334313;B125
334314;B206
334321;B066
334322;A038
334323;A068
334324;A105
334331;B131
334332;A072
334333;A124
334334;A129
334341;B212
334342;A107
334343;A126
334344;A130
334411;H035
334412;B061
334413;B126
334414;B207
334421;B093
334422;A039
334423;A069
334424;A106
334431;B158
334432;A091
334433;A125
334434;A130
334441;B239
334442;A119
334443;A128
334444;A131
341112;I010
341113;I015
341114;I024
341121;J010
341122;H012
341123;H017
341124;H024
341131;J019
341132;H029
341133;H033
341134;H037
341141;J026
341142;H041
341143;H043
341144;H044
341211;J012
341212;C018
341213;C023
341214;C032
341221;E012
341222;B034
341223;B039
341224;B048
341231;E015
341232;B053
341233;B058
341234;B067
341241;E024
341242;B076
341243;B085
341244;B094
341311;J020
341312;C042
341313;C051
341314;C060
341321;E017
341322;B099
341323;B104
341324;B113
341331;E029
341332;B118
341333;B123
341334;B132
341341;E036
341342;B141
341343;B150
341344;B159
341411;J024
341412;C043
341413;C069
341414;C078
341421;E026
341422;B168
341423;B177
341424;B186
341431;E038
341432;B195
341433;B204
341434;B213
341441;E044
341442;B222
341443;B231
341444;B240
342111;I012
342112;G018
342113;G023
342114;G024
342121;C020
342122;B080
342123;B083
342124;B086
342131;C046
342132;B081
342133;B084
342134;B087
342141;C047
342142;B082
342143;B085
342144;B088
342211;H014
342212;B062
342213;B127
342214;B208
342221;B036
342222;A018
342223;A021
342224;A028
342231;B101
342232;A033
342233;A037
342234;A041
342241;B170
342242;A045
342243;A047
342244;A048
342311;H030
342312;B063
342313;B128
342314;B209
342321;B055
342322;A034
342323;A051
342324;A058
342331;B120
342332;A063
342333;A066
342334;A073
342341;B197
342342;A079
342343;A085
342344;A092
342411;H036
342412;B064
342413;B129
342414;B210
342421;B078
342422;A040
342423;A070
342424;A098
342431;B143
342432;A081
342433;A103
342434;A108
342441;B224
342442;A113
342443;A116
342444;A120
343111;I017
343112;G019
343113;G034
343114;G037
343121;C025
343122;B145
343123;B148
343124;B151
343131;C053
343132;B146
343133;B149
343134;B152
343141;C071
343142;B147
343143;B150
343144;B153
343211;H019
343212;B065
343213;B130
343214;B211
343221;B041
343222;A023
343223;A071
343224;A086
343231;B106
343232;A053
343233;A084
343234;A087
343241;B179
343242;A083
343243;A085
343244;A088
343311;H034
343312;B066
343313;B131
343314;B212
343321;B060
343322;A038
343323;A072
343324;A107
343331;B125
343332;A068
343333;A124
343334;A126
343341;B206
343342;A105
343343;A129
343344;A130
343411;H037
343412;B067
343413;B132
343414;B213
343421;B087
343422;A041
343423;A073
343424;A108
343431;B152
343432;A087
343433;A126
343434;A132
343441;B233
343442;A117
343443;A133
343444;A134
344111;I026
344112;G020
344113;G035
344114;G044
344121;C034
344122;B226
344123;B229
344124;B232
344131;C062
344132;B227
344133;B230
344134;B233
344141;C080
344142;B228
344143;B231
344144;B234
344211;H026
344212;B068
344213;B133
344214;B214
344221;B050
344222;A030
344223;A074
344224;A109
344231;B115
344232;A060
344233;A115
344234;A117
344241;B188
344242;A100
344243;A116
344244;A118
344311;H038
344312;B069
344313;B134
344314;B215
344321;B069
344322;A042
344323;A075
344324;A110
344331;B134
344332;A075
344333;A127
344334;A133
344341;B215
344342;A110
344343;A133
344344;A135
344411;H039
344412;B070
344413;B135
344414;B216
344421;B096
344422;A043
344423;A076
344424;A111
344431;B161
344432;A094
344433;A128
344434;A134
344441;B242
344442;A122
344443;A136
344444;A137
411112;L004
411113;L005
411114;L006
411121;M007
411122;I019
411123;I022
411124;I025
411131;M008
411132;I020
411133;I023
411134;I026
411141;M009
411142;I021
411143;I024
411144;I027
411211;K004
411212;F009
411213;F010
411214;F013
411221;F014
411222;G011
411223;G012
411224;G015
411231;F016
411232;G016
411233;G017
411234;G020
411241;F020
411242;G022
411243;G024
411244;G027
411311;K005
411312;F017
411313;F021
411314;F023
411321;F015
411322;G028
411323;G029
411324;G031
411331;F024
411332;G032
411333;G033
411334;G035
411341;F026
411342;G036
411343;G037
411344;G039
411411;K006
411412;F018
411413;F025
411414;F027
411421;F018
411422;G040
411423;G041
411424;G042
411431;F025
411432;G041
411433;G043
411434;G044
411441;F027
411442;G042
411443;G044
411444;G045
412111;M005
412112;F011
412113;F012
412114;F013
412121;D005
412122;C027
412123;C030
412124;C033
412131;D007
412132;C028
412133;C031
412134;C034
412141;D008
412142;C029
412143;C032
412144;C035
412211;J014
412212;E019
412213;E031
412214;E040
412221;C036
412222;B163
412223;B190
412224;B217
412231;C064
412232;B172
412233;B199
412234;B226
412241;C073
412242;B181
412243;B208
412244;B235
412311;J022
412312;E020
412313;E032
412314;E041
412321;C040
412322;B166
412323;B193
412324;B220
412331;C067
412332;B175
412333;B202
412334;B229
412341;C076
412342;B184
412343;B211
412344;B238
412411;J025
412412;E021
412413;E033
412414;E042
412421;C045
412422;B169
412423;B196
412424;B223
412431;C070
412432;B178
412433;B205
412434;B232
412441;C079
412442;B187
412443;B214
412444;B241
413111;M006
413112;F019
413113;F022
413114;F023
413121;D006
413122;C055
413123;C058
413124;C061
413131;D009
413132;C056
413133;C059
413134;C062
413141;D010
413142;C057
413143;C060
413144;C063
413211;J015
413212;E022
413213;E034
413214;E041
413221;C037
413222;B164
413223;B191
413224;B218
413231;C065
413232;B173
413233;B200
413234;B227
413241;C074
413242;B182
413243;B209
413244;B236
413311;J023
413312;E023
413313;E035
413314;E043
413321;C041
413322;B167
413323;B194
413324;B221
413331;C068
413332;B176
413333;B203
413334;B230
413341;C077
413342;B185
413343;B212
413344;B239
413411;J026
413412;E024
413413;E036
413414;E044
413421;C047
413422;B170
413423;B197
413424;B224
413431;C071
413432;B179
413433;B206
413434;B233
413441;C080
413442;B188
413443;B215
413444;B242
414111;M009
414112;F020
414113;F026
414114;F027
414121;D008
414122;C073
414123;C076
414124;C079
414131;D010
414132;C074
414133;C077
414134;C080
414141;D011
414142;C075
414143;C078
414144;C081
414211;J017
414212;E025
414213;E037
414214;E042
414221;C039
414222;B165
414223;B192
414224;B219
414231;C066
414232;B174
414233;B201
414234;B228
414241;C075
414242;B183
414243;B210
414244;B237
414311;J024
414312;E026
414313;E038
414314;E044
414321;C043
414322;B168
414323;B195
414324;B222
414331;C069
414332;B177
414333;B204
414334;B231
414341;C078
414342;B186
414343;B213
414344;B240
414411;J027
414412;E027
414413;E039
414414;E045
414421;C049
414422;B171
414423;B198
414424;B225
414431;C072
414432;B180
414433;B207
414434;B234
414441;C081
414442;B189
414443;B216
414444;B243
421112;I011
421113;I016
421114;I025
421121;J011
421122;H013
421123;H018
421124;H025
421131;J016
421132;H021
421133;H023
421134;H026
421141;J017
421142;H022
421143;H024
421144;H027
421211;J009
421212;C019
421213;C024
421214;C033
421221;E011
421222;B035
421223;B040
421224;B049
421231;E016
421232;B054
421233;B059
421234;B068
421241;E025
421242;B077
421243;B086
421244;B095
421311;J018
421312;C044
421313;C052
421314;C061
421321;E014
421322;B100
421323;B105
421324;B114
421331;E028
421332;B119
421333;B124
421334;B133
421341;E037
421342;B142
421343;B151
421344;B160
421411;J025
421412;C045
421413;C070
421414;C079
421421;E021
421422;B169
421423;B178
421424;B187
421431;E033
421432;B196
421433;B205
421434;B214
421441;E042
421442;B223
421443;B232
421444;B241
422111;I009
422112;G013
422113;G014
422114;G015
422121;C017
422122;B043
422123;B046
422124;B049
422131;C038
422132;B044
422133;B047
422134;B050
422141;C039
422142;B045
422143;B048
422144;B051
422211;H011
422212;B071
422213;B136
422214;B217
422221;B033
422222;A017
422223;A022
422224;A029
422231;B098
422232;A025
422233;A027
422234;A030
422241;B165
422242;A026
422243;A028
422244;A031
422311;H028
422312;B072
422313;B137
422314;B218
422321;B052
422322;A032
422323;A052
422324;A059
422331;B117
422332;A062
422333;A067
422334;A074
422341;B192
422342;A080
422343;A086
422344;A093
422411;H040
422412;B073
422413;B138
422414;B219
422421;B073
422422;A044
422423;A077
422424;A099
422431;B138
422432;A077
422433;A104
422434;A109
422441;B219
422442;A099
422443;A109
422444;A121
423111;I014
423112;G021
423113;G030
423114;G031
423121;C022
423122;B108
423123;B111
423124;B114
423131;C050
423132;B109
423133;B112
423134;B115
423141;C066
423142;B110
423143;B113
423144;B116
423211;H016
423212;B074
423213;B139
423214;B220
423221;B038
423222;A020
423223;A056
423224;A059
423231;B103
423232;A050
423233;A057
423234;A060
423241;B174
423242;A055
423243;A058
423244;A061
423311;H032
423312;B075
423313;B140
423314;B221
423321;B057
423322;A036
423323;A078
423324;A112
423331;B122
423332;A065
423333;A102
423334;A115
423341;B201
423342;A097
423343;A107
423344;A119
423411;H041
423412;B076
423413;B141
423414;B222
423421;B082
423422;A045
423423;A079
423424;A113
423431;B147
423432;A083
423433;A105
423434;A117
423441;B228
423442;A100
423443;A110
423444;A122
424111;I021
424112;G022
424113;G036
424114;G042
424121;C029
424122;B181
424123;B184
424124;B187
424131;C057
424132;B182
424133;B185
424134;B188
424141;C075
424142;B183
424143;B186
424144;B189
424211;H022
424212;B077
424213;B142
424214;B223
424221;B045
424222;A026
424223;A080
424224;A099
424231;B110
424232;A055
424233;A097
424234;A100
424241;B183
424242;A096
424243;A098
424244;A101
424311;H036
424312;B078
424313;B143
424314;B224
424321;B064
424322;A040
424323;A081
424324;A113
424331;B129
424332;A070
424333;A103
424334;A116
424341;B210
424342;A098
424343;A108
424344;A120
424411;H042
424412;B079
424413;B144
424414;B225
424421;B091
424422;A046
424423;A082
424424;A114
424431;B156
424432;A089
424433;A106
424434;A118
424441;B237
424442;A101
424443;A111
424444;A123
431112;I012
431113;I017
431114;I026
431121;J012
431122;H014
431123;H019
431124;H026
431131;J020
431132;H030
431133;H034
431134;H038
431141;J024
431142;H036
431143;H037
431144;H039
431211;J010
431212;C020
431213;C025
431214;C034
431221;E012
431222;B036
431223;B041
431224;B050
431231;E017
431232;B055
431233;B060
431234;B069
431241;E026
431242;B078
431243;B087
431244;B096
431311;J019
431312;C046
431313;C053
431314;C062
431321;E015
431322;B101
431323;B106
431324;B115
431331;E029
431332;B120
431333;B125
431334;B134
431341;E038
431342;B143
431343;B152
431344;B161
431411;J026
431412;C047
431413;C071
431414;C080
431421;E024
431422;B170
431423;B179
431424;B188
431431;E036
431432;B197
431433;B206
431434;B215
431441;E044
431442;B224
431443;B233
431444;B242
432111;I010
432112;G018
432113;G019
432114;G020
432121;C018
432122;B062
432123;B065
432124;B068
432131;C042
432132;B063
432133;B066
432134;B069
432141;C043
432142;B064
432143;B067
432144;B070
432211;H012
432212;B080
432213;B145
432214;B226
432221;B034
432222;A018
432223;A023
432224;A030
432231;B099
432232;A034
432233;A038
432234;A042
432241;B168
432242;A040
432243;A041
432244;A043
432311;H029
432312;B081
432313;B146
432314;B227
432321;B053
432322;A033
432323;A053
432324;A060
432331;B118
432332;A063
432333;A068
432334;A075
432341;B195
432342;A081
432343;A087
432344;A094
432411;H041
432412;B082
432413;B147
432414;B228
432421;B076
432422;A045
432423;A083
432424;A100
432431;B141
432432;A079
432433;A105
432434;A110
432441;B222
432442;A113
432443;A117
432444;A122
433111;I015
433112;G023
433113;G034
433114;G035
433121;C023
433122;B127
433123;B130
433124;B133
433131;C051
433132;B128
433133;B131
433134;B134
433141;C069
433142;B129
433143;B132
433144;B135
433211;H017
433212;B083
433213;B148
433214;B229
433221;B039
433222;A021
433223;A071
433224;A074
433231;B104
433232;A051
433233;A072
433234;A075
433241;B177
433242;A070
433243;A073
433244;A076
433311;H033
433312;B084
433313;B149
433314;B230
433321;B058
433322;A037
433323;A084
433324;A115
433331;B123
433332;A066
433333;A124
433334;A127
433341;B204
433342;A103
433343;A126
433344;A128
433411;H043
433412;B085
433413;B150
433414;B231
433421;B085
433422;A047
433423;A085
433424;A116
433431;B150
433432;A085
433433;A129
433434;A133
433441;B231
433442;A116
433443;A133
433444;A136
434111;I024
434112;G024
434113;G037
434114;G044
434121;C032
434122;B208
434123;B211
434124;B214
434131;C060
434132;B209
434133;B212
434134;B215
434141;C078
434142;B210
434143;B213
434144;B216
434211;H024
434212;B086
434213;B151
434214;B232
434221;B048
434222;A028
434223;A086
434224;A109
434231;B113
434232;A058
434233;A107
434234;A110
434241;B186
434242;A098
434243;A108
434244;A111
434311;H037
434312;B087
434313;B152
434314;B233
434321;B067
434322;A041
434323;A087
434324;A117
434331;B132
434332;A073
434333;A126
434334;A133
434341;B213
434342;A108
434343;A132
434344;A134
434411;H044
434412;B088
434413;B153
434414;B234
434421;B094
434422;A048
434423;A088
434424;A118
434431;B159
434432;A092
434433;A130
434434;A135
434441;B240
434442;A120
434443;A134
434444;A137
441112;I013
441113;I018
441114;I027
441121;J013
441122;H015
441123;H020
441124;H027
441131;J021
441132;H031
441133;H035
441134;H039
441141;J027
441142;H042
441143;H044
441144;H045
441211;J013
441212;C021
441213;C026
441214;C035
441221;E013
441222;B037
441223;B042
441224;B051
441231;E018
441232;B056
441233;B061
441234;B070
441241;E027
441242;B079
441243;B088
441244;B097
441311;J021
441312;C048
441313;C054
441314;C063
441321;E018
441322;B102
441323;B107
441324;B116
441331;E030
441332;B121
441333;B126
441334;B135
441341;E039
441342;B144
441343;B153
441344;B162
441411;J027
441412;C049
441413;C072
441414;C081
441421;E027
441422;B171
441423;B180
441424;B189
441431;E039
441432;B198
441433;B207
441434;B216
441441;E045
441442;B225
441443;B234
441444;B243
442111;I013
442112;G025
442113;G026
442114;G027
442121;C021
442122;B089
442123;B092
442124;B095
442131;C048
442132;B090
442133;B093
442134;B096
442141;C049
442142;B091
442143;B094
442144;B097
442211;H015
442212;B089
442213;B154
442214;B235
442221;B037
442222;A019
442223;A024
442224;A031
442231;B102
442232;A035
442233;A039
442234;A043
442241;B171
442242;A046
442243;A048
442244;A049
442311;H031
442312;B090
442313;B155
442314;B236
442321;B056
442322;A035
442323;A054
442324;A061
442331;B121
442332;A064
442333;A069
442334;A076
442341;B198
442342;A082
442343;A088
442344;A095
442411;H042
442412;B091
442413;B156
442414;B237
442421;B079
442422;A046
442423;A089
442424;A101
442431;B144
442432;A082
442433;A106
442434;A111
442441;B225
442442;A114
442443;A118
442444;A123
443111;I018
443112;G026
443113;G038
443114;G039
443121;C026
443122;B154
443123;B157
443124;B160
443131;C054
443132;B155
443133;B158
443134;B161
443141;C072
443142;B156
443143;B159
443144;B162
443211;H020
443212;B092
443213;B157
443214;B238
443221;B042
443222;A024
443223;A090
443224;A093
443231;B107
443232;A054
443233;A091
443234;A094
443241;B180
443242;A089
443243;A092
443244;A095
443311;H035
443312;B093
443313;B158
443314;B239
443321;B061
443322;A039
443323;A091
443324;A119
443331;B126
443332;A069
443333;A125
443334;A128
443341;B207
443342;A106
443343;A130
443344;A131
443411;H044
443412;B094
443413;B159
443414;B240
443421;B088
443422;A048
443423;A092
443424;A120
443431;B153
443432;A088
443433;A130
443434;A134
443441;B234
443442;A118
443443;A135
443444;A137
444111;I027
444112;G027
444113;G039
444114;G045
444121;C035
444122;B235
444123;B238
444124;B241
444131;C063
444132;B236
444133;B239
444134;B242
444141;C081
444142;B237
444143;B240
444144;B243
444211;H027
444212;B095
444213;B160
444214;B241
444221;B051
444222;A031
444223;A093
444224;A121
444231;B116
444232;A061
444233;A119
444234;A122
444241;B189
444242;A101
444243;A120
444244;A123
444311;H039
444312;B096
444313;B161
444314;B242
444321;B070
444322;A043
444323;A094
444324;A122
444331;B135
444332;A076
444333;A128
444334;A136
444341;B216
444342;A111
444343;A134
444344;A137
444411;H045
444412;B097
444413;B162
444414;B243
444421;B097
444422;A049
444423;A095
444424;A123
444431;B162
444432;A095
444433;A131
444434;A137
444441;B243
444442;A123
444443;A137
444444;A138
